sample	irma_HA	irma_NA	vapor_HA	vapor_NA
SRR24839089	5	1	5	1
SRR24839308	5	1	5	1
SRR24839527	5	1	5	1
SRR24839746	5	1	5	1
SRR24843266	5	1	5	1
SRR28073572	3	2	3	2
ERR3474585	3	2	3	2
SRR15282378	2	2	2	2
SRR15282604	2	2	2	2
SRR15282830	2	2	2	2
SRR19392194	1	1	1	1
SRR17349433	7	3	7	3
SRR4414065	?	?	?	?
SRR6674575	3	2	3	2
SRR11445793	3	2	3	2
ERR4552886	1	1	1	1
SRR8875118	3	?	3	?
SRR10960872	1	1	1	1
SRR10161135	?	?	?	?
SRR10058441	3	?	?	?
SRR25784116	?	?	?	?
SRR14242173	3	2	3	2
SRR28616373	?	?	5	1
SRR28636349	3	2	3	2
SRR28420334	3	2	3	2
SRR28752579	5	1	5	1
SRR28388439	1	1	1	1
SRR24842860	5	1	5	1
SRR24843228	5	1	5	1
SRR12389610	4	6	4	6
SRR16183376	7	9	7	9
SRR16359829	9	2	9	2
ERR7167884	5	8	5	8
SRR18273490	3	2	3	2
SRR29953203	5	1	5	1
SRR28995134	1	1	1	1
SRR28834898	5	1	5	1
SRR29478191	3	2	3	2
SRR29740688	5	1	5	1
SRR29267694	1	1	1	1
SRR29281462	5	1	5	1
SRR29360512	3	2	3	2
SRR29377910	5	1	5	1
SRR29008739	1	1	1	1
ERR13358299	3	2	3	2
SRR30027738	3	2	3	2
SRR27384587	3	2	3	2
SRR29679777	?	?	1	1
SRR29694548	5	1	5	1
SRR27181074	1	1	1	1
SRR27181293	3	2	3	2
SRR27181512	3	2	3	2
SRR27181731	1	1	1	1
SRR30610055	?	?	?	?
SRR30714667	3	2	3	?
SRR30561705	1	1	1	1
SRR30589503	3	2	3	2
SRR3126286	1	1	1	1
SRR3879772	9	2	9	2
SRR5428800	1	?	1	?
SRR7974505	3	?	3	?
SRR14341105	1	1	1	1
SRR27709514	?	?	?	?
SRR27490377	1	1	1	1
SRR24839090	5	1	5	1
SRR24839309	5	1	5	1
SRR24839528	5	1	5	1
SRR24839747	5	1	5	1
SRR24843267	5	1	5	1
SRR28073573	3	2	3	2
ERR3474586	3	2	3	2
SRR15282379	2	2	2	2
SRR15282605	2	2	2	2
SRR15282831	2	2	2	2
SRR19404201	1	1	1	1
SRR17349434	7	3	7	3
SRR4414066	?	?	?	?
SRR6674576	3	2	3	2
SRR11445794	3	2	3	2
ERR4552887	1	1	1	1
SRR8875119	3	?	3	?
SRR10960873	1	1	1	1
SRR10161136	?	?	?	?
SRR10058442	3	?	?	?
SRR25784117	1	1	1	1
SRR14242174	3	2	3	2
SRR28616374	?	?	5	1
SRR28420335	3	2	3	2
SRR28752580	5	1	5	1
SRR28388440	1	1	1	1
SRR24842862	5	1	5	1
SRR24843229	5	1	5	1
SRR12389611	9	2	9	2
SRR16183377	7	9	7	9
SRR16359830	9	2	9	2
ERR7167885	5	8	5	8
SRR18273491	3	2	3	2
SRR29953204	5	1	5	1
SRR28995135	1	1	1	1
SRR28834906	5	1	5	1
SRR29478192	3	2	3	2
SRR29740689	5	1	5	1
SRR29267695	3	2	3	2
SRR29281463	5	1	5	1
SRR29360513	3	2	3	2
SRR29377911	5	1	5	1
SRR29008740	1	1	1	1
ERR13358300	3	2	3	2
SRR30027739	1	1	1	1
SRR27384588	3	2	3	?
SRR29679778	?	?	1	1
SRR29694549	5	1	5	1
SRR27181075	1	1	1	1
SRR27181294	?	2	?	2
SRR27181513	1	1	1	1
SRR27181732	3	2	3	2
SRR31107658	1	1	1	1
SRR30589504	3	2	3	2
SRR3126287	1	1	1	1
SRR3879777	9	2	9	2
SRR5428801	1	?	1	?
SRR7974506	3	?	3	?
SRR14341106	1	1	1	1
SRR27709515	?	?	?	?
SRR27490378	1	1	1	1
SRR24839091	5	1	5	1
SRR24839310	5	1	5	1
SRR24839529	5	1	5	1
SRR24839748	5	1	5	1
SRR24843268	5	1	5	1
SRR28073574	?	?	3	2
ERR3474587	3	2	3	2
SRR15282380	2	2	2	2
SRR15282606	2	2	2	2
SRR15282832	2	2	2	2
SRR19404202	1	1	1	1
SRR17349435	7	3	7	3
SRR4414067	?	?	?	?
SRR6674577	3	2	3	2
SRR11445795	3	2	3	2
ERR4552888	1	1	1	1
SRR8875120	3	?	3	?
SRR10960874	1	1	1	1
SRR10161137	?	?	?	?
SRR10058443	3	?	?	?
SRR28616375	?	?	?	?
SRR26542315	3	2	3	2
SRR28420347	3	2	3	2
SRR28752581	5	1	5	1
SRR28388441	1	1	1	1
SRR24842863	5	1	5	1
SRR24843230	5	1	5	1
SRR12389612	9	2	9	2
SRR16183378	7	9	7	9
SRR16359831	9	2	9	2
ERR7167886	5	8	5	8
SRR18273492	3	2	3	2
SRR29953205	5	1	5	1
SRR28995136	1	1	1	1
SRR28834907	5	1	5	1
SRR29478193	3	2	3	2
SRR29740690	5	1	5	1
SRR29267696	3	2	3	2
SRR29281464	5	1	5	1
SRR29360514	3	2	3	?
SRR29377912	5	1	5	1
SRR29008753	1	1	1	1
ERR13358301	3	2	3	2
SRR30027740	3	2	3	2
SRR27384589	3	2	3	2
SRR29679779	?	?	1	1
SRR29694550	5	1	5	1
SRR27181076	1	2	1	2
SRR27181295	1	1	1	1
SRR27181514	1	1	1	1
SRR27181733	3	2	3	2
SRR30610057	?	?	1	?
SRR30714669	3	?	?	?
SRR31107659	1	1	1	1
SRR30589505	3	2	3	2
SRR3126288	1	1	1	1
SRR7661304	1	1	1	1
SRR5894315	3	?	3	?
SRR7974508	3	?	3	?
SRR14341107	1	1	1	1
SRR27709516	?	?	?	?
SRR27490379	1	1	1	1
SRR24839092	5	1	5	1
SRR24839311	5	1	5	1
SRR24839530	5	1	5	1
SRR24839749	5	1	5	1
SRR24843270	5	1	5	1
SRR28073575	3	2	3	2
ERR3474588	3	2	3	2
SRR15282381	2	2	2	2
SRR15282607	2	2	2	2
SRR15282833	2	2	2	2
SRR19404203	1	1	1	1
SRR17349436	7	3	7	3
SRR4414068	?	?	?	?
SRR6674578	3	2	3	2
SRR11445796	3	2	3	2
ERR4552889	1	1	1	1
SRR8875121	3	?	3	?
SRR10960875	1	1	1	1
SRR10161138	?	?	?	?
SRR10058444	3	?	?	?
SRR14242176	?	?	?	?
SRR28616376	?	?	5	1
SRR26542316	3	2	3	2
SRR28420348	3	2	3	2
SRR28752582	5	1	5	1
SRR28388442	1	1	1	1
SRR24842864	5	1	5	1
SRR24843231	5	1	5	1
SRR12389613	9	2	9	2
SRR16183379	7	9	7	9
SRR16359832	9	2	9	2
ERR7167887	5	8	5	8
SRR18273493	1	1	1	1
SRR29953206	5	1	5	1
SRR28995137	1	1	1	1
SRR28834908	5	1	5	1
SRR29478194	1	1	1	1
SRR29740691	5	1	5	1
SRR29248299	3	2	3	2
SRR29281465	5	1	5	1
SRR29360515	3	2	3	2
SRR29377913	5	1	5	1
SRR29008754	3	2	3	2
ERR13358303	3	2	3	2
SRR29679695	?	?	1	1
SRR27384590	3	2	3	2
SRR29679780	?	?	3	2
SRR29694551	5	1	5	1
SRR27181077	3	2	3	2
SRR27181515	1	1	1	1
SRR27181734	3	2	3	2
SRR30714670	1	1	1	?
SRR31107660	1	1	1	1
SRR30589506	3	2	3	2
SRR3126289	1	1	1	1
SRR7661323	7	9	7	9
SRR5894316	3	?	?	?
SRR1577747	?	?	3	2
SRR14341108	1	1	1	1
SRR27709517	?	?	?	?
SRR27490380	1	1	1	1
SRR24839093	5	1	5	1
SRR24839312	5	1	5	1
SRR24839531	5	1	5	1
SRR24839750	5	1	5	1
SRR24843271	5	1	5	1
SRR28073576	3	2	3	2
ERR3474589	3	2	3	2
SRR15282382	2	2	2	2
SRR15282608	2	2	2	2
SRR15282834	2	2	2	2
SRR19404204	1	1	1	1
SRR17349437	7	3	7	3
SRR4414069	?	?	?	?
SRR6674579	3	2	3	2
SRR11445797	3	2	3	2
ERR4552952	1	1	1	1
SRR8875122	3	?	3	?
SRR10960876	1	1	1	1
SRR10161139	?	?	?	?
SRR10058445	3	?	3	?
SRR14242177	3	2	3	2
SRR28616377	?	?	5	1
SRR26542317	3	2	3	2
SRR28420349	3	2	3	2
SRR28752583	5	1	5	1
SRR28388443	1	1	1	1
SRR24842865	5	1	5	1
SRR24843232	5	1	5	1
SRR12389614	9	2	9	2
SRR16183380	7	9	7	9
SRR16359833	9	2	9	2
ERR7167888	5	8	5	8
SRR18273494	3	2	3	2
SRR29953207	5	1	5	1
SRR28995138	1	1	1	1
SRR28834911	5	1	5	1
SRR29478195	1	1	1	1
SRR29740692	5	1	5	1
SRR29248300	3	2	3	2
SRR29281466	5	1	5	1
SRR29360516	3	2	3	2
SRR29377914	5	1	5	1
SRR29008755	3	2	3	2
ERR13358304	3	2	3	2
SRR29679696	?	?	1	1
SRR27384591	3	2	3	2
SRR29679781	?	?	3	2
SRR29694552	5	1	5	1
SRR27181078	3	2	3	2
SRR27181297	3	2	3	2
SRR27181516	1	?	?	?
SRR27181735	1	1	1	1
SRR30714671	1	1	1	1
SRR31107661	1	1	1	1
SRR30589507	3	2	3	2
SRR3126290	1	1	1	1
SRR7661324	3	2	3	2
SRR5894317	3	?	?	?
SRR1577748	?	?	3	2
SRR14341109	1	1	1	1
SRR27709518	?	?	?	?
SRR27490381	1	1	1	1
SRR24839094	5	1	5	1
SRR24839313	5	1	5	1
SRR24839532	5	1	5	1
SRR24839751	5	1	5	1
SRR24843272	5	1	5	1
SRR28073577	?	?	3	2
ERR3474590	3	2	3	2
SRR15282383	2	2	2	2
SRR15282609	2	2	2	2
SRR15282835	2	2	2	2
SRR19404205	?	?	1	?
SRR17349438	7	3	7	3
SRR6470191	1	1	1	1
SRR6674580	3	2	3	2
SRR11445798	3	2	3	2
ERR4552953	1	1	1	1
SRR8875123	3	?	3	?
SRR10960877	1	1	1	1
SRR10161140	?	?	?	?
SRR10058446	3	?	?	?
SRR14242178	3	2	3	2
SRR28616378	?	?	5	1
SRR26542318	3	2	3	2
SRR28420350	3	2	3	2
SRR28752584	5	1	5	1
SRR28388444	1	1	1	1
SRR24842866	5	1	5	1
SRR24843233	5	1	5	1
SRR12389615	6	2	6	2
SRR16183381	7	2	7	2
SRR16359834	9	2	9	2
ERR7167889	5	8	5	8
SRR18273495	3	2	3	2
SRR29953208	5	1	5	1
SRR28995139	1	1	1	1
SRR28834912	5	1	5	1
SRR29478196	3	2	3	2
SRR29740693	5	1	5	1
SRR29248301	3	2	3	2
SRR29281467	5	1	5	1
SRR29360517	3	2	3	2
SRR29377915	5	1	5	1
SRR29008756	1	1	1	1
ERR13358306	3	2	3	2
SRR29679697	?	?	1	1
SRR27384592	3	2	3	2
SRR29679782	?	?	1	1
SRR29694553	5	1	5	1
SRR27181079	3	2	3	2
SRR27181298	3	2	3	2
SRR27181517	1	1	1	1
SRR27181736	1	1	1	1
SRR30714894	1	1	1	1
SRR31107662	1	1	1	1
SRR30589508	3	2	3	2
SRR3126291	1	1	1	1
SRR7661325	5	1	5	1
SRR5894318	3	?	?	?
SRR1577759	?	?	3	2
SRR14341110	1	1	1	1
SRR27709519	?	?	?	?
SRR27490382	1	1	1	1
SRR24839095	5	1	5	1
SRR24839314	5	1	5	1
SRR24839533	5	1	5	1
SRR24839752	5	1	5	1
SRR24843273	5	1	5	1
SRR28073578	?	?	3	2
ERR3474591	3	2	3	2
SRR15282384	2	2	2	2
SRR15282610	2	2	2	2
SRR15282836	2	2	2	2
SRR19404206	?	?	1	?
SRR17349439	7	3	7	3
SRR6470192	1	1	1	1
SRR6674581	3	2	3	2
SRR11445799	3	2	3	2
ERR4552955	1	1	1	1
SRR8875124	3	?	3	?
SRR10960878	1	1	1	1
SRR10161141	?	?	?	?
SRR10294694	3	?	3	?
SRR14242179	3	2	3	2
SRR28616379	?	?	5	1
SRR26542319	3	2	3	2
SRR28420351	3	2	3	2
SRR28752585	5	1	5	1
SRR28388445	1	1	1	1
SRR24842867	5	1	5	1
SRR24843240	5	1	5	1
SRR12389616	6	2	6	2
SRR16183382	7	9	7	9
SRR16359835	9	2	9	2
ERR7167890	5	8	5	8
SRR18273496	3	2	3	2
SRR29953209	5	1	5	1
SRR28995140	1	1	1	1
SRR28834913	5	1	5	1
SRR29478197	3	2	3	2
SRR29740694	5	1	5	1
SRR29248302	3	2	3	2
SRR29281468	5	1	5	1
SRR29360518	3	2	3	2
SRR29377916	5	1	5	1
SRR29008760	3	2	3	2
ERR13358307	3	2	3	2
SRR29679698	?	?	1	1
SRR27384593	3	2	3	2
SRR29679783	?	?	1	1
SRR29694554	5	1	5	1
SRR27181080	?	?	?	?
SRR27181299	3	2	3	2
SRR27181518	?	?	?	?
SRR27181737	?	?	?	?
SRR30714895	1	1	1	1
SRR31107663	1	1	1	1
SRR30589509	3	2	3	2
SRR3126292	1	1	1	1
SRR6116989	1	?	1	?
SRR5894341	3	?	3	?
SRR1577768	?	?	3	2
SRR14341111	1	1	1	1
SRR27709520	?	?	?	?
SRR27490383	1	1	1	1
SRR24839096	5	1	5	1
SRR24839315	5	1	5	1
SRR24839534	5	1	5	1
SRR24839753	5	1	5	1
SRR24843274	5	1	5	1
SRR28073579	?	?	3	2
ERR3474592	3	2	3	2
SRR15282385	2	2	2	2
SRR15282611	2	2	2	2
SRR15282837	2	2	2	2
SRR19404207	?	?	1	?
SRR17349440	7	3	7	3
SRR6470193	1	1	1	1
SRR6674582	3	2	3	2
SRR11445800	3	2	3	2
ERR4552957	1	1	1	1
SRR8875125	3	?	3	?
SRR10960879	1	1	1	1
SRR10161142	?	?	?	?
SRR10294695	3	?	3	?
SRR25784123	?	?	?	1
SRR14242180	3	2	3	2
SRR28616380	?	?	5	1
SRR26542320	3	2	3	2
SRR28420352	1	1	1	1
SRR28752586	5	1	5	1
SRR28388446	1	1	1	1
SRR24842870	5	1	5	1
SRR24843242	5	1	5	1
SRR16183383	7	9	7	9
SRR16359836	9	2	9	2
ERR7167891	7	1	7	1
SRR18273497	3	2	3	2
SRR29953210	5	1	5	1
SRR28995141	1	1	1	1
SRR28834914	5	1	5	1
SRR29478198	1	1	1	1
SRR29740695	5	1	5	1
SRR29248303	1	1	1	1
SRR29281469	5	1	5	1
SRR29360519	3	2	3	2
SRR29377917	5	1	5	1
SRR29008761	1	1	1	1
ERR13358308	3	2	3	2
SRR29679699	?	?	3	2
SRR27384594	3	2	3	2
SRR29679787	?	?	3	2
SRR29694555	5	1	5	1
SRR27181300	3	2	3	2
SRR27181519	?	?	?	?
SRR27181738	3	2	3	2
SRR31143035	1	1	1	1
SRR30714896	1	1	?	?
SRR31107664	1	1	1	1
SRR30589510	3	2	3	2
SRR3126293	1	1	1	1
SRR6116990	1	?	1	?
SRR5894342	3	?	?	?
SRR5314799	?	?	?	?
SRR14341112	1	1	1	1
SRR27709521	?	?	?	?
SRR27490384	1	1	1	1
SRR24839097	5	1	5	1
SRR24839316	5	1	5	1
SRR24839535	5	1	5	1
SRR24839754	5	1	5	1
SRR24843275	5	1	5	1
SRR28073580	?	?	3	2
ERR3474593	3	2	3	2
SRR15282386	2	2	2	2
SRR15282612	2	2	2	2
SRR15282838	2	2	2	2
SRR19404208	?	?	1	?
SRR17349441	7	3	7	3
SRR6470194	1	?	1	?
SRR6674583	3	2	3	2
SRR11445801	3	2	3	2
ERR4552958	1	1	1	1
SRR8875126	3	?	3	?
SRR10960880	1	1	1	1
SRR10161143	?	?	?	?
SRR10294696	3	?	3	?
SRR14242181	3	2	3	2
SRR28616381	?	?	5	1
SRR26542321	3	2	3	2
SRR28420353	3	2	3	2
SRR28752587	5	1	5	1
SRR28388447	?	?	1	?
SRR24842871	5	1	5	1
SRR24843243	5	1	5	1
SRR12389618	1	7	10	7
ERR5050914	1	1	1	1
SRR16359837	9	2	9	2
ERR7167892	7	8	7	8
SRR18273498	1	1	1	1
SRR29953211	5	1	5	1
SRR28995142	1	1	1	1
SRR28834917	5	1	5	1
SRR29478199	3	?	3	?
SRR29740696	5	1	5	1
SRR29248304	1	1	1	1
SRR29281470	5	1	5	1
SRR29360520	3	2	3	2
SRR29379462	1	1	1	1
SRR29008762	1	1	1	1
ERR13358309	3	2	3	2
SRR29679700	?	?	1	1
SRR27384595	3	2	3	2
SRR29679788	?	?	1	1
SRR29694556	5	1	5	1
SRR27181082	3	2	3	2
SRR27181301	3	2	3	2
SRR27181520	1	2	1	2
SRR27181739	?	?	?	?
SRR31143036	1	1	1	1
SRR30714897	1	?	?	?
SRR31107665	1	1	1	1
SRR30589511	3	2	3	2
SRR3126294	1	1	1	1
SRR6116991	1	?	1	?
SRR5894344	3	?	?	?
SRR5314800	?	?	?	?
SRR14341113	1	1	1	1
SRR27709522	?	?	?	?
SRR27490385	1	1	1	1
SRR24839098	5	1	5	1
SRR24839317	5	1	5	1
SRR24839536	5	1	5	1
SRR24839755	5	1	5	1
SRR24843276	5	1	5	1
SRR28073581	3	2	3	2
ERR3474594	3	?	3	?
SRR15282387	2	2	2	2
SRR15282613	2	2	2	2
SRR15282839	2	2	2	2
SRR19404209	?	?	1	?
SRR17349442	7	3	7	3
SRR6470195	1	?	1	?
SRR6674584	3	2	3	2
SRR11445802	3	2	3	2
ERR4552960	1	1	1	1
SRR8875127	3	?	3	?
SRR10960881	1	1	1	1
SRR10161144	?	?	?	?
SRR10294697	3	?	3	?
SRR14242182	3	2	3	2
SRR28616382	?	?	5	1
SRR26542322	3	2	3	2
SRR28420354	1	1	1	1
SRR28752588	5	1	5	1
SRR28388448	1	1	1	1
SRR24842874	5	1	5	1
SRR24843244	5	1	5	1
SRR12389619	3	8	3	8
ERR5050915	1	1	1	1
SRR16359838	9	2	9	2
ERR7167893	7	1	7	1
SRR18273499	1	1	1	1
SRR29953212	5	1	5	1
SRR28995143	1	1	1	1
SRR28834918	5	1	5	1
SRR29478200	1	1	1	1
SRR29740697	5	1	5	1
SRR29248305	1	1	1	1
SRR29281471	5	1	5	1
SRR29360521	3	2	3	2
SRR29379463	3	2	3	2
SRR29008763	3	2	3	2
ERR13358310	3	2	3	2
SRR29679701	?	?	1	1
SRR27384596	1	1	1	1
SRR29679789	?	?	1	1
SRR29694557	5	1	5	1
SRR27181083	?	2	?	2
SRR27181302	3	2	3	2
SRR27181521	1	1	1	1
SRR27181740	3	2	3	2
SRR31143037	1	1	1	1
SRR30714898	3	2	3	?
SRR31107666	1	1	1	1
SRR30589512	3	2	3	2
SRR3126295	1	1	1	1
SRR6116992	1	?	1	?
SRR5894345	3	?	?	?
SRR5314801	?	?	?	?
SRR14420360	1	2	?	2
ERR12036763	9	2	9	2
SRR27490386	1	1	1	1
SRR24839099	5	1	5	1
SRR24839318	5	1	5	1
SRR24839537	5	1	5	1
SRR24839756	5	1	5	1
SRR24843277	5	1	5	1
SRR28073582	3	2	3	2
ERR3474595	3	2	3	2
SRR15282388	2	2	2	2
SRR15282614	2	2	2	2
SRR19404210	?	?	1	?
SRR17349443	7	3	7	3
SRR6470196	1	?	1	?
SRR6674585	3	2	3	2
SRR11445803	3	2	3	2
ERR4552962	1	1	1	1
SRR8875128	3	?	3	?
SRR10960882	1	1	1	1
SRR10161145	?	?	?	?
SRR10294698	3	?	3	?
SRR25784126	3	?	3	2
SRR14242183	3	2	3	2
SRR28616383	?	?	5	1
SRR26542323	3	2	3	2
SRR28420355	3	2	3	2
SRR28752589	5	1	5	1
SRR28388449	1	1	1	1
SRR24842875	5	1	5	1
SRR24843245	5	1	5	1
SRR12389620	1	7	10	7
ERR5050916	1	1	1	1
SRR16359839	9	2	9	2
ERR7167894	7	1	7	1
SRR18273500	3	2	3	2
SRR29953213	5	1	5	1
SRR28995144	1	1	1	1
SRR28834919	5	1	5	1
SRR29478201	3	2	3	2
SRR29740698	5	1	5	1
SRR29248306	1	1	1	1
SRR29281472	5	1	5	1
SRR29360522	3	2	3	2
SRR29379464	3	2	3	2
SRR29008764	1	1	1	1
ERR13358311	3	2	3	2
SRR29679702	?	?	1	1
SRR27384597	3	2	3	2
SRR29679790	?	?	1	1
SRR29694558	5	1	5	1
SRR27181084	?	?	?	?
SRR27181303	3	2	3	2
SRR27181522	1	1	1	1
SRR27181741	3	2	3	2
SRR31143038	1	1	1	1
SRR30714899	3	2	3	?
SRR31107667	1	1	1	1
SRR30589513	3	2	3	2
SRR3126296	1	1	1	1
SRR6116993	1	?	1	?
SRR5894347	3	?	3	?
SRR5314802	?	?	?	?
SRR14420361	1	2	1	2
ERR12036764	9	2	9	2
SRR27490387	1	1	1	1
SRR24839100	5	1	5	1
SRR24839319	5	1	5	1
SRR24839538	5	1	5	1
SRR24839757	5	1	5	1
SRR24843278	5	1	5	1
SRR28073583	?	?	3	2
ERR3474596	3	2	3	2
SRR15282389	2	2	2	2
SRR15282615	2	2	2	2
SRR15282841	2	2	2	2
SRR19404211	?	?	1	?
SRR17349444	7	3	7	3
SRR6470197	1	?	1	?
SRR6674586	3	2	3	2
SRR11445804	3	2	3	2
ERR4552964	1	1	1	1
SRR8875129	3	?	3	?
SRR10960883	1	1	1	1
SRR10294699	3	?	3	?
SRR14242184	3	2	3	2
SRR28616384	?	?	5	1
SRR26542324	3	2	3	2
SRR28420356	1	1	1	1
SRR28752590	5	1	5	1
SRR28388450	1	1	1	1
SRR24842876	5	1	5	1
SRR24843246	5	1	5	1
SRR12389621	8	4	8	4
ERR5050917	1	1	1	1
SRR16359840	9	2	9	2
SRR16770171	1	1	1	1
SRR18273501	3	2	3	2
SRR29953214	5	1	5	1
SRR28995145	1	1	1	1
SRR28834922	5	1	5	1
SRR29487424	1	1	1	1
SRR29740699	5	1	5	1
SRR29248307	3	2	3	2
SRR29360523	3	2	3	2
SRR29379465	3	2	3	2
SRR29008765	3	2	3	2
ERR13358312	3	2	3	2
SRR29679711	?	?	1	1
SRR27384598	3	2	3	?
SRR29679791	?	?	3	2
SRR29694559	5	1	5	1
SRR27181085	3	2	3	2
SRR27181304	?	2	?	2
SRR27181523	1	?	1	?
SRR27181742	1	1	1	1
SRR31143039	1	1	1	1
SRR30714900	3	2	3	2
SRR31107668	1	1	1	1
SRR30589514	3	2	3	2
SRR3126297	1	1	1	1
SRR6116994	1	?	1	?
SRR5894348	3	?	3	?
SRR5314803	?	?	?	?
SRR14420362	1	2	1	?
ERR12036765	9	2	9	2
SRR27490388	1	1	1	1
SRR24839101	5	1	5	1
SRR24839320	5	1	5	1
SRR24839539	5	1	5	1
SRR24839758	5	1	5	1
SRR24843280	5	1	5	1
SRR28073584	3	2	3	2
ERR3474597	3	2	3	2
SRR15282390	2	2	2	2
SRR15282616	2	2	2	2
SRR15282842	2	2	2	2
SRR19404212	1	1	1	1
SRR17349445	7	3	7	3
SRR6470198	1	?	1	?
SRR6674587	3	2	3	2
SRR11445805	3	2	3	2
ERR4552965	1	1	1	1
SRR8875130	3	?	3	?
SRR10960884	1	1	1	1
SRR10161147	?	?	?	?
SRR10294700	3	?	3	?
SRR14242185	3	2	3	2
SRR28616385	?	?	5	1
SRR26542325	3	2	3	2
SRR28420357	1	1	1	1
SRR28752591	5	1	5	1
SRR28388451	1	1	1	1
SRR24842877	5	1	5	1
SRR24843254	5	1	5	1
SRR12389622	6	6	6	6
ERR5050918	1	1	1	1
SRR16359841	9	2	9	2
SRR16770172	1	1	1	1
SRR18273502	3	2	3	2
SRR29953215	5	1	5	1
SRR28995146	1	1	1	1
SRR28834925	5	1	5	1
SRR29487425	1	1	1	1
SRR29740700	5	1	5	1
SRR29248308	3	2	3	2
SRR29360524	3	2	3	2
SRR29085717	1	1	1	1
SRR29008766	3	2	3	2
ERR13358313	3	2	3	2
SRR29679733	?	?	1	1
SRR27384599	3	2	3	2
SRR29679792	?	?	1	1
SRR29694560	5	1	5	1
SRR27181086	3	2	3	2
SRR27181305	1	1	1	1
SRR27181524	3	2	3	2
SRR27181743	3	2	3	2
SRR31143040	1	1	1	1
SRR30714901	3	?	3	?
SRR31120493	1	1	1	1
SRR30589515	3	2	3	2
SRR3126298	1	1	1	1
SRR6116995	1	?	1	?
SRR5894349	3	?	3	?
SRR5314804	?	?	?	?
SRR14420363	1	2	1	2
ERR12036766	9	2	9	2
SRR27490389	1	1	1	1
SRR24839102	5	1	5	1
SRR24839321	5	1	5	1
SRR24839540	5	1	5	1
SRR24839759	5	1	5	1
SRR24843281	5	1	5	1
SRR28073585	1	1	1	1
ERR3474598	3	2	3	2
SRR15282391	2	2	2	2
SRR15282617	2	2	2	2
SRR15282843	2	2	2	2
SRR19404213	?	?	1	?
SRR17349446	7	3	7	3
SRR6470199	1	?	1	?
SRR6674588	3	2	3	2
SRR11445806	3	2	3	2
ERR4552966	1	1	1	1
SRR8875131	3	?	3	?
SRR10960885	1	1	1	1
SRR10161148	?	?	?	?
SRR10294701	3	?	3	?
SRR14242186	3	2	3	2
SRR28616386	?	?	5	1
SRR26542326	3	2	3	2
SRR28420358	1	1	1	1
SRR28752592	5	1	5	1
SRR28388452	1	1	1	1
SRR24842878	5	1	5	1
SRR24843255	5	1	5	1
SRR12389623	6	1	6	1
ERR5050919	1	1	1	1
SRR16359842	9	2	9	2
SRR16770173	1	1	1	1
SRR18273503	3	2	3	2
SRR29953216	5	1	5	1
SRR28995147	1	1	1	1
SRR28834938	5	1	5	1
SRR29487426	1	1	1	1
SRR29740701	5	1	5	1
SRR29248309	1	1	1	1
SRR29360525	3	2	3	2
SRR29085718	3	2	3	2
SRR29008767	3	2	3	2
ERR13358314	3	2	3	2
SRR29679735	?	?	1	1
SRR27384600	1	1	1	1
SRR29679795	?	?	1	1
SRR29694561	5	1	5	1
SRR27181087	3	2	3	2
SRR27181306	3	2	3	2
SRR27181525	?	2	?	2
SRR27181744	?	?	?	?
SRR31143041	3	2	3	2
SRR30714902	?	?	?	?
SRR31120494	1	1	1	1
SRR30589516	3	2	3	2
SRR3126299	1	1	1	1
SRR6116996	1	?	1	?
SRR5894352	3	?	3	?
SRR5314805	?	?	?	?
SRR14420364	1	2	1	2
ERR12036767	9	2	9	2
SRR27490390	1	1	1	1
SRR24839103	5	1	5	1
SRR24839322	5	1	5	1
SRR24839541	5	1	5	1
SRR24839760	5	1	5	1
SRR24843282	5	1	5	1
SRR28073586	?	?	1	1
ERR3474599	3	2	3	2
SRR15282392	2	2	2	2
SRR15282618	2	2	2	2
SRR15282844	2	2	2	2
SRR19404214	?	?	1	?
SRR17349447	7	3	7	3
SRR6470200	1	?	1	?
SRR6674589	3	2	3	2
SRR11445807	3	2	3	2
ERR4552968	1	1	1	1
SRR8875132	3	?	3	?
SRR10960886	1	1	1	1
SRR10161149	?	?	?	?
SRR10294702	3	?	3	?
SRR25784130	3	2	3	2
SRR14242190	3	2	3	2
SRR28616387	?	?	5	1
SRR26542327	3	2	3	2
SRR28420359	1	1	1	1
SRR28752593	5	1	5	1
SRR28388453	1	1	1	1
SRR24842879	5	1	5	1
SRR24843256	5	1	5	1
SRR12389624	4	6	4	6
ERR5050921	1	1	1	1
SRR16359843	9	2	9	2
SRR16770174	1	1	1	1
SRR18273504	3	2	3	2
SRR29953217	5	1	5	1
SRR28995148	1	1	1	1
SRR28834939	5	1	5	1
SRR29487427	1	1	1	1
SRR29740702	5	1	5	1
SRR29248310	1	1	1	1
SRR29360526	3	2	3	2
SRR29085719	3	2	3	2
SRR29008768	1	1	1	1
ERR13358315	3	2	3	2
SRR29679746	?	?	1	1
SRR27384601	3	2	3	2
SRR29679806	?	?	1	1
SRR29694562	5	1	5	1
SRR27181088	3	2	3	2
SRR27181307	?	?	?	?
SRR27181526	?	2	?	2
SRR27181745	3	2	3	2
SRR31143042	3	2	3	2
SRR30714903	3	2	3	2
SRR31062724	5	1	5	1
SRR30589517	3	2	3	2
SRR3126300	1	1	1	1
SRR6116997	1	?	1	?
SRR5894354	3	?	3	?
SRR5314806	?	?	?	?
SRR14420365	?	2	?	2
