sample	irma_HA	irma_NA	vapor_HA	vapor_NA
SRR30610042	?	?	?	?
SRR30714654	3	2	3	?
SRR30546775	3	2	3	2
SRR30589490	3	2	3	2
SRR3098126	?	?	3	2
SRR1521178	3	8	3	8
SRR5428787	1	?	1	?
SRR7974490	3	?	3	?
SRR14341092	1	1	1	1
ERR11523534	3	2	3	2
SRR27490364	1	1	1	1
SRR24839077	5	1	5	1
SRR24839296	5	1	5	1
SRR24839515	5	1	5	1
SRR24839734	5	1	5	1
SRR24843247	5	1	5	1
SRR28073560	?	?	3	2
SRR13318577	1	?	1	?
SRR15282366	2	2	2	2
SRR15282592	2	2	2	2
SRR19392182	1	1	1	1
SRR17349421	7	3	7	3
SRR4420145	1	1	1	1
SRR6674563	3	2	3	2
SRR11445781	3	2	3	2
SRR11446000	3	2	3	2
SRR8875106	3	?	3	?
SRR10960860	3	2	3	2
SRR10161123	?	?	?	?
SRR10058429	3	?	3	?
SRR25784104	3	2	3	2
SRR14242161	3	2	3	2
SRR23717292	3	2	3	2
SRR25222436	9	2	9	2
SRR28420308	1	1	1	1
SRR28752567	5	1	5	1
SRR28388427	1	1	1	1
SRR24842844	5	1	5	1
SRR24843214	5	1	5	1
SRR12389598	9	?	9	?
SRR16232028	7	9	7	2
SRR16359817	9	2	9	2
SRR18273478	3	2	3	2
SRR29951904	1	1	1	1
SRR28995122	1	1	1	1
SRR29040777	1	1	1	1
SRR29478179	1	1	1	1
SRR29740676	5	1	5	1
SRR29267682	1	1	1	1
SRR29281450	5	1	5	1
SRR29360500	3	2	3	2
SRR29377898	5	1	5	1
SRR29008727	3	2	3	2
ERR13358264	3	2	3	2
SRR30027726	3	2	3	2
SRR27384575	3	2	3	2
SRR29694536	5	1	5	1
SRR27181062	?	2	?	2
SRR27181281	1	2	1	2
SRR27181500	3	2	3	2
SRR27181719	1	1	1	1
SRR30610043	?	?	?	?
SRR30546776	3	2	3	2
SRR30589491	3	2	3	2
SRR3098127	?	?	5	6
SRR5930374	1	?	1	?
SRR5428788	1	?	1	?
SRR7974491	3	?	3	?
SRR14341093	1	1	1	1
ERR11523535	1	1	1	1
SRR27490365	1	1	1	1
SRR24839078	5	1	5	1
SRR24839297	5	1	5	1
